CO_ENTIDADE;dependencia_id;ano;ideb_AI;ideb_AF;ideb_EM
35021556;2;2017;;6,5;
35021573;2;2017;;5,9;
35021623;2;2017;7,5;5,5;4,9
35021696;2;2017;;;5,3
35021702;2;2017;;6,2;
35021726;2;2017;;6,1;4,5
35021738;2;2017;;5;3,8
35021748;2;2017;;;5,1
35021817;2;2017;;;6,6
35041661;2;2017;;4,9;
35045895;2;2017;;5,8;4,3
35061414;3;2017;6,9;;
35063502;3;2017;7,3;;
35074871;3;2017;6,3;;
35083203;3;2017;7,6;;
35083926;3;2017;7,3;;
35086356;3;2017;7,2;;
35093531;3;2017;7,2;;
35098966;3;2017;6,1;;
35114029;4;2017;;;6
35191437;3;2017;5,8;;
35246037;3;2017;6,1;;
35246049;3;2017;6,2;;
35267284;3;2017;6,6;;
35267296;3;2017;6,8;;
35267302;3;2017;7,5;;
35267314;3;2017;7,1;;
35267326;3;2017;7,1;;
35267338;3;2017;7,5;;
35267348;3;2017;6,9;;
35267351;3;2017;6,3;;
35285959;3;2017;7,2;;
35285973;3;2017;6,2;;
35299662;3;2017;6,5;;
35435485;2;2017;;4,8;
35442057;3;2017;6,1;;
35462913;3;2017;6,3;;
35905586;2;2017;;4,5;
35905598;2;2017;;4,7;2,8
35909567;2;2017;;;4,3
35911148;2;2017;;5,8;
35917916;2;2017;;4,8;3,6
